Date,AQI,PM2.5,Temperature,Humidity,Pressure,VOC,NO2,CO,NH3
2025-06-03T11:10:10.751Z,41,6.30403,28.91634,58.96671,914.48,31.69134,162.4582,1.786015,149.1963
2025-06-03T11:10:41.115Z,36,5.073257,28.94545,58.87941,914.47,31.39534,160.219,1.826196,147.1399
2025-06-03T11:11:56.938Z,66,12.28572,28.81476,59.16762,914.5,31.45508,159.3575,1.978124,146.3487
2025-06-03T11:12:27.248Z,79,18.43223,28.87014,59.10386,914.48,31.69129,161.2578,1.897814,148.0939
2025-06-03T11:12:57.362Z,26,2.575093,28.91507,58.95996,914.48,31.8998,159.5563,1.716034,146.5313
2025-06-03T11:13:27.563Z,83,20.04396,28.89767,58.93116,914.48,32.09756,160.6277,1.731265,147.5152
2025-06-03T11:13:58.001Z,15,0,28.88343,58.9945,914.47,32.30923,164.2084,1.751167,150.8036
2025-06-03T11:14:28.389Z,74,15.91209,28.8578,59.08892,914.5,32.16285,162.2306,1.645856,148.9873
2025-06-03T11:14:58.806Z,126,39.64469,28.86729,59.09688,914.51,32.43825,164.0201,1.72314,150.6307
2025-06-03T11:15:29.316Z,73,15.49084,28.86413,59.22092,914.52,32.42211,164.8696,1.827258,151.4108
2025-06-03T11:15:59.543Z,100,28.32235,28.89071,59.22492,914.5,32.44623,163.1208,1.72067,149.8048
2025-06-03T11:16:29.731Z,75,16.21612,28.90147,59.20032,914.52,32.72499,166.4337,1.880774,152.8473
2025-06-03T11:17:47.556Z,15,0,28.89577,59.56688,914.57,33.92322,171.5815,1.518778,157.5748
2025-06-03T11:19:42.156Z,78,17.94872,28.76381,59.64546,914.59,32.32547,162.6463,1.713799,149.369
2025-06-03T11:20:12.348Z,16,0.358974,28.68913,59.66047,914.62,32.02361,158.9586,1.563541,145.9823
2025-06-03T11:20:42.665Z,88,22.47985,28.66381,59.78803,914.61,32.27687,157.8998,1.556876,145.01
2025-06-03T11:21:12.970Z,76,17,28.65812,59.90551,914.61,32.18743,157.7551,1.587676,144.8771
2025-06-03T11:21:43.279Z,77,17.42491,28.67806,59.9743,914.63,32.57425,163.0363,1.722635,149.7272
2025-06-03T11:22:13.794Z,109,32.35165,28.68312,60.02112,914.63,32.32539,161.3117,1.665878,148.1434
2025-06-03T11:22:44.108Z,54,9.285713,28.67996,60.02722,914.64,32.05659,159.3787,1.598635,146.3682
2025-06-03T11:23:14.622Z,92,24.25274,28.7135,60.03889,914.64,32.31733,161.2617,1.535177,148.0975
2025-06-03T11:23:45.342Z,31,3.846155,28.7173,59.98683,914.64,31.51442,159.1985,1.486187,146.2027
2025-06-03T11:24:15.860Z,33,4.410256,28.75306,60.03831,914.65,32.27656,163.4804,1.502972,150.1351
2025-06-03T11:25:13.201Z,83,20.18315,28.81413,59.77791,914.59,31.59032,168.1635,1.957336,154.4359
2025-06-03T11:25:43.812Z,44,6.989012,28.74957,59.53824,914.59,31.19801,162.4235,1.793215,149.1644
2025-06-03T11:26:14.235Z,59,10.51282,28.74609,59.45239,914.6,30.93731,161.6418,1.872094,148.4466
2025-06-03T11:26:44.597Z,76,16.78022,28.67236,59.30354,914.58,29.92766,155.7101,1.809877,142.9991
2025-06-03T11:27:18.838Z,27,2.798535,28.61603,59.44592,914.58,29.74079,159.9111,0.994228,146.8571
2025-06-03T11:27:49.559Z,74,15.91209,28.57774,59.45985,914.58,29.08122,157.3628,0.963087,144.5168
2025-06-03T11:28:20.284Z,30,3.52381,28.56477,59.62197,914.59,29.20692,154.6539,0.973651,142.0291
2025-06-03T11:28:51.208Z,89,23.04396,28.55591,59.58125,914.58,28.73118,156.855,2.086784,144.0505
2025-06-03T11:29:21.612Z,56,9.747252,28.57236,59.59687,914.58,28.94421,156.5099,0.988962,143.7336
2025-06-03T11:31:22.967Z,94,25.62271,28.30434,60.563,914.58,31.97188,159.7906,1.774179,146.7465
2025-06-03T11:31:53.480Z,15,0,28.44515,60.01795,914.56,30.54762,162.4182,1.541669,149.1595
2025-06-03T11:32:24.199Z,53,9.102564,28.4673,59.94896,914.57,30.36751,161.1055,1.002439,147.954
2025-06-03T11:32:54.718Z,86,21.43224,28.49673,59.97314,914.56,30.75208,162.2994,0.996909,149.0505
2025-06-03T11:33:25.230Z,82,19.53846,28.51414,59.96263,914.58,30.57448,163.0853,0.978434,149.7722
2025-06-03T11:33:55.745Z,117,35.77656,28.51667,60.00248,914.58,30.87585,160.4025,1.071401,147.3084
2025-06-03T11:34:26.149Z,124,38.87912,28.54293,59.96698,914.58,31.1289,158.8315,1.000894,145.8657
2025-06-03T11:34:56.665Z,80,18.81319,28.5404,60.01923,914.59,31.28414,156.9211,0.939988,144.1112
2025-06-03T11:35:27.180Z,72,15.12821,28.5461,60.09905,914.58,31.8913,155.3598,1.529319,142.6773
2025-06-03T11:36:00.460Z,80,18.85348,28.56477,60.18745,914.58,31.8915,158.6151,0.938556,145.6669
2025-06-03T11:36:30.984Z,71,14.663,28.51003,60.40971,914.6,31.9825,157.3628,0.914762,144.5168
2025-06-03T11:37:01.592Z,62,11.27839,28.50338,60.52078,914.61,31.22402,154.9214,0.932714,142.2747
2025-06-03T11:37:32.313Z,22,1.79121,28.51541,60.50284,914.61,31.01584,154.5661,0.881666,141.9485
2025-06-03T11:38:02.828Z,78,17.88645,28.52332,60.4381,914.63,30.47583,151.4916,0.929805,139.1249
2025-06-03T11:38:33.454Z,16,0.34066,28.52901,60.44556,914.63,30.50268,150.3999,0.823893,138.1224
2025-06-03T11:39:03.969Z,76,16.91941,28.52458,60.49763,914.67,30.70811,151.6327,1.396479,139.2545
2025-06-03T11:39:34.373Z,29,3.300365,28.51762,60.43065,914.67,31.05078,148.7021,0.86872,136.5632
2025-06-03T11:40:05.205Z,34,4.450549,28.52395,60.37888,914.69,31.05074,150.3392,0.945946,138.0666
2025-06-03T11:40:35.720Z,36,5.032968,28.52332,60.31948,914.66,30.90223,147.9351,0.881666,135.8588
2025-06-03T11:41:41.053Z,27,2.919413,28.48471,60.3202,914.68,31.2326,148.4288,0.851093,136.3122
2025-06-03T11:43:40.747Z,58,10.31136,28.24611,61.41975,914.69,37.16617,144.9208,1.322856,133.0905
2025-06-03T11:44:11.373Z,43,6.747252,28.36415,60.49298,914.69,31.66606,146.9878,0.84956,134.9888
2025-06-03T11:44:42.094Z,80,18.83516,28.48376,60.23442,914.61,31.641,148.2318,0.983483,136.1312
2025-06-03T11:45:12.255Z,23,1.992674,28.58724,59.85533,914.6,31.8583,143.6625,0.834596,131.935
2025-06-03T11:45:42.920Z,114,34.68864,28.66698,59.65711,914.61,31.99887,140.6183,0.764034,129.1393
2025-06-03T11:46:13.435Z,88,22.52015,28.73185,59.29938,914.61,32.06472,142.7101,0.851172,131.0603
2025-06-03T11:46:44.360Z,55,9.666669,28.76508,59.17327,914.61,32.11384,144.5271,0.883284,132.729
2025-06-03T11:47:14.967Z,59,10.5348,28.7866,59.01273,914.61,32.2686,145.9567,0.95973,134.0419
2025-06-03T11:47:45.602Z,25,2.395604,28.79324,58.8828,914.6,32.29307,146.7491,0.957948,134.7696
2025-06-03T11:48:16.325Z,81,19.01465,28.79799,58.68076,914.62,32.23616,147.1696,0.973411,135.1557
2025-06-03T11:48:46.718Z,60,10.79487,28.79831,58.67426,914.59,32.25243,146.6996,0.976646,134.7242
2025-06-03T11:49:17.234Z,40,6.040292,28.79356,58.61473,914.64,32.26063,146.9325,1.768927,134.9381
2025-06-03T11:49:48.066Z,24,2.234433,28.79482,58.62799,914.63,32.32547,146.5945,0.878415,134.6276
2025-06-03T11:50:18.468Z,37,5.175824,28.79926,58.64825,914.62,32.26873,142.6828,0.90142,131.0352
2025-06-03T11:50:49.199Z,60,10.87546,28.79451,58.73908,914.63,32.25243,147.013,0.868715,135.012
2025-06-03T11:51:19.820Z,82,19.69963,28.79514,58.60843,914.61,32.06472,148.3615,0.875881,136.2504
2025-06-03T11:51:50.218Z,114,35.09157,28.79989,58.56339,914.62,32.18735,145.6346,0.925007,133.7461
2025-06-03T11:52:20.847Z,76,16.82051,28.79546,58.52354,914.61,32.34966,142.6353,0.897188,130.9915
2025-06-03T11:52:51.566Z,146,47.62271,28.79546,58.41252,914.59,32.46228,149.7976,0.99561,137.5692
2025-06-03T11:53:21.969Z,112,33.84249,28.79767,58.31493,914.57,32.5104,146.9383,0.96433,134.9434
2025-06-03T11:53:55.351Z,15,0,28.79419,58.29485,914.6,32.69333,147.8062,0.865616,135.7404
2025-06-03T11:54:25.981Z,86,21.67399,28.78027,58.27972,914.58,32.91368,146.6475,0.92455,134.6763
2025-06-03T11:54:56.495Z,56,9.827837,28.78818,58.307,914.6,32.98382,146.271,0.844767,134.3305
2025-06-03T11:55:27.009Z,43,6.787546,28.78786,58.2939,914.61,33.07706,148.402,0.899802,136.2875
2025-06-03T11:55:57.617Z,35,4.692308,28.78248,58.21482,914.61,33.03831,150.0587,0.968325,137.809
2025-06-03T11:56:29.270Z,27,2.838827,28.779,58.22083,914.61,33.13114,142.5159,0.953101,130.8819
2025-06-03T11:56:59.784Z,56,9.827837,28.77774,58.24673,914.62,33.3536,147.8925,0.931063,135.8196
2025-06-03T11:57:30.298Z,60,10.83516,28.77742,58.26625,914.63,33.23121,147.5311,0.893303,135.4877
2025-06-03T11:58:00.813Z,47,7.611721,28.77362,58.33746,914.63,33.23886,148.3001,0.946195,136.1939
2025-06-03T11:58:31.329Z,48,7.875459,28.77078,58.36967,914.65,33.12343,146.3785,0.941624,134.4292
2025-06-03T11:59:02.050Z,53,9.043957,28.76286,58.42724,914.63,32.62994,148.754,0.93117,136.6108
2025-06-03T11:59:32.564Z,47,7.692307,28.75843,58.4919,914.64,32.55812,149.8983,1.000777,137.6617
2025-06-03T12:00:03.080Z,26,2.758242,28.74957,58.5167,914.64,32.4622,148.1988,1.014587,136.101
2025-06-03T12:00:33.800Z,31,3.86447,28.74166,58.70503,914.61,32.70916,149.7015,0.993822,137.481
2025-06-03T12:01:04.109Z,56,9.890111,28.73343,58.90003,914.63,32.33349,149.9928,0.933807,137.7485
2025-06-03T12:01:34.513Z,46,7.45055,28.72394,59.03608,914.65,32.23624,150.3856,1.123933,138.1092
2025-06-03T12:02:05.233Z,88,22.68132,28.71223,59.16534,914.64,32.0237,150.6674,1.643239,138.368
2025-06-03T12:02:36.188Z,81,19.2967,28.704,59.26896,914.64,31.83339,149.2032,0.956313,137.0233
2025-06-03T12:03:06.785Z,28,3.000001,28.68882,59.53565,914.62,31.74155,149.0066,0.9445,136.8427
2025-06-03T12:03:37.301Z,22,1.670329,28.68217,59.5806,914.63,31.80846,148.8457,0.904754,136.695
2025-06-03T12:04:08.010Z,76,17,28.67806,59.73761,914.64,32.5021,152.7847,1.062335,140.3125
2025-06-03T12:04:38.628Z,87,21.93773,28.66224,59.78123,914.64,32.06472,156.7424,1.168617,143.9471
2025-06-03T12:05:09.143Z,39,5.677655,28.65717,59.7936,914.64,31.8168,152.7996,1.433797,140.3262
2025-06-03T12:05:39.769Z,68,13.19414,28.64863,59.98957,914.65,31.9164,153.8968,1.429069,141.3338
2025-06-03T12:06:10.173Z,51,8.681319,28.64103,60.08712,914.68,32.13842,158.3462,2.134127,145.42
2025-06-03T12:06:40.596Z,86,21.47253,28.6347,60.07301,914.67,31.73331,157.5291,1.086066,144.6696
2025-06-03T12:07:11.113Z,37,5.216117,28.62901,60.13795,914.67,31.41245,157.8524,1.005904,144.9665
2025-06-03T12:07:41.513Z,43,6.765568,28.62964,60.25659,914.68,31.25845,156.2362,0.922725,143.4823
2025-06-03T12:08:12.553Z,16,0.260074,28.63091,60.27655,914.68,31.48054,155.3979,0.968278,142.7124
2025-06-03T12:08:42.954Z,85,20.90842,28.62806,60.25636,914.68,31.54827,154.2547,1.014696,141.6625
2025-06-03T12:09:13.234Z,64,11.84249,28.62584,60.28236,914.71,31.72484,155.999,1.059643,143.2644
2025-06-03T12:09:43.686Z,72,15.10623,28.62964,60.31589,914.67,32.05659,152.1523,0.912927,139.7317
2025-06-03T12:10:14.090Z,85,21.31136,28.63186,60.46783,914.69,33.24644,157.8104,1.035596,144.9279
2025-06-03T12:10:44.583Z,166,56.28572,28.6347,60.34961,914.71,33.3536,158.2683,1.048681,145.3484
2025-06-03T12:11:15.230Z,61,11.11722,28.63502,60.21131,914.7,33.91596,154.6109,0.97835,141.9896
2025-06-03T12:11:45.635Z,79,18.41026,28.63122,60.21073,914.72,34.41761,153.9282,0.953101,141.3626
2025-06-03T12:12:16.467Z,48,8.03663,28.63059,60.17772,914.73,35.10612,155.9011,1.007163,143.1745
2025-06-03T12:12:46.982Z,40,6.040296,28.62648,60.11125,914.72,35.22298,156.017,1.042035,143.2809
2025-06-03T12:13:17.384Z,75,16.41758,28.62236,59.82777,914.75,34.69505,155.1375,1.034764,142.4733
2025-06-03T12:13:48.311Z,47,7.633699,28.6192,59.81415,914.74,34.61021,154.0078,0.944982,141.4358
2025-06-03T12:14:18.940Z,15,0,28.6135,59.76072,914.75,34.51061,155.7955,1.607761,143.0775
2025-06-03T12:14:49.340Z,92,24.65568,28.6116,59.66188,914.75,34.60309,153.3987,1.836281,140.8764
2025-06-03T12:15:19.967Z,60,10.91575,28.60622,59.62823,914.76,34.58159,152.1429,1.389696,139.723
2025-06-03T12:15:50.485Z,112,34.16483,28.6018,59.31261,914.76,34.30976,153.6874,1.763322,141.1415
2025-06-03T12:16:20.885Z,74,15.97436,28.5961,59.14137,914.76,34.28093,151.6317,1.076877,139.2536
2025-06-03T12:16:51.718Z,73,15.24908,28.59167,59.02936,914.77,34.30253,155.2094,1.175856,142.5393
2025-06-03T12:17:22.235Z,108,32.0293,28.58914,58.97662,914.78,34.30262,154.2016,1.173061,141.6137
2025-06-03T12:17:52.749Z,36,5.054946,28.57964,58.88358,914.8,34.14319,152.0064,1.157339,139.5977
2025-06-03T12:18:23.263Z,78,17.68498,28.57426,58.72583,914.8,33.85682,152.5244,1.134729,140.0734
2025-06-03T12:18:53.387Z,82,19.49817,28.56794,58.41134,914.79,33.54305,151.6507,1.242633,139.2711
2025-06-03T12:19:24.091Z,67,12.34799,28.56445,58.10429,914.78,33.51287,152.543,1.229111,140.0905
2025-06-03T12:19:54.809Z,87,22.27839,28.56192,58.15607,914.78,33.58077,151.6259,1.208584,139.2483
2025-06-03T12:20:25.324Z,101,28.84616,28.55717,58.11625,914.78,33.73783,151.6785,1.17229,139.2966
2025-06-03T12:20:55.840Z,59,10.51282,28.548,58.16052,914.79,33.89373,150.4817,1.109047,138.1975
2025-06-03T12:21:26.354Z,76,16.71795,28.54452,57.97105,914.79,34.2013,151.5102,1.166786,139.142
2025-06-03T12:21:57.074Z,76,16.95971,28.53914,57.90514,914.79,34.30979,153.5769,1.248409,141.04
2025-06-03T12:22:27.590Z,87,22.07692,28.53218,57.87158,914.81,34.52489,153.8971,1.252496,141.3341
2025-06-03T12:22:58.312Z,60,10.77656,28.52838,57.69535,914.81,34.55337,154.5016,1.340416,141.8892
2025-06-03T12:23:28.826Z,87,22.07692,28.52427,57.55172,914.81,34.58176,150.6771,1.192624,138.3769
2025-06-03T12:23:59.339Z,34,4.490842,28.51699,57.63515,914.82,34.65273,150.4361,1.170747,138.1556
2025-06-03T12:24:30.061Z,119,36.62271,28.5192,57.54448,914.84,34.51768,152.8479,2.132777,140.3706
2025-06-03T12:25:00.223Z,32,4.168497,28.51509,57.64788,914.85,34.4821,147.1768,1.248131,135.1624
2025-06-03T12:25:30.886Z,43,6.626375,28.51762,57.67426,914.88,34.46783,150.87,1.120162,138.554
2025-06-03T12:26:01.493Z,44,6.886449,28.51541,57.69345,914.88,34.4249,149.8489,1.065952,137.6164
2025-06-03T12:26:32.121Z,135,43.15018,28.51888,57.79802,914.92,34.56757,150.5744,1.202077,138.2826
2025-06-03T12:27:03.180Z,57,10.17216,28.51857,57.90211,914.89,34.76526,150.8017,1.953701,138.4913
2025-06-03T12:27:33.825Z,96,26.38828,28.51888,57.92168,914.89,34.89153,150.8999,1.829253,138.5815
2025-06-03T12:28:04.689Z,107,31.78755,28.5249,57.92258,914.92,34.80046,151.2245,1.945344,138.8797
2025-06-03T12:28:35.460Z,83,20.08425,28.52268,58.01343,914.92,34.84953,152.8029,1.859731,140.3292
2025-06-03T12:29:06.308Z,98,27.15384,28.5268,58.00751,914.94,34.80753,153.2217,2.446866,140.7138
2025-06-03T12:29:37.268Z,113,34.56777,28.52268,58.09812,914.96,34.96103,154.0303,1.753547,141.4564
2025-06-03T12:30:10.824Z,15,0,28.52996,58.09267,915,34.9818,158.6665,1.244259,145.7142
2025-06-03T12:30:41.350Z,138,44.35898,28.5192,58.08456,914.99,35.57529,158.6671,2.204899,145.7147
2025-06-03T12:31:11.971Z,80,18.97436,28.52363,58.09174,914.99,35.83486,156.4787,1.776593,143.705
2025-06-03T12:31:42.792Z,43,6.747252,28.52332,58.007,915.02,35.881,158.7909,1.263865,145.8284
2025-06-03T12:32:13.395Z,86,21.79487,28.51414,58.0317,915.04,36.03191,157.3126,1.173866,144.4708
2025-06-03T12:32:44.245Z,77,17.52381,28.50908,57.94629,915.06,35.72881,155.2719,1.24429,142.5967
2025-06-03T12:33:15.339Z,88,22.39927,28.50338,57.95196,915.07,35.49469,155.5947,1.110447,142.8931
2025-06-03T12:33:46.485Z,23,1.871796,28.49547,57.89872,915.06,35.13384,153.8483,1.170157,141.2893
2025-06-03T12:34:17.506Z,53,9.142858,28.49009,57.85887,915.06,34.84241,154.8744,1.943699,142.2316
2025-06-03T12:34:48.410Z,45,7.230769,28.48186,57.93576,915.07,34.90528,155.9686,1.186836,143.2365
2025-06-03T12:35:19.246Z,71,14.48352,28.46604,57.92041,915.09,34.60309,154.8744,1.081951,142.2316
2025-06-03T12:35:49.983Z,76,17.04029,28.46256,57.985,915.09,34.39615,151.111,1.073223,138.7754
2025-06-03T12:36:20.882Z,74,15.97436,28.46161,58.04348,915.1,34.56047,151.6327,1.083702,139.2545
2025-06-03T12:36:51.606Z,52,8.941393,28.45496,58.06856,915.1,34.75823,150.8227,1.097194,138.5106
2025-06-03T12:37:22.366Z,58,10.43223,28.44895,58.10677,915.11,35.08556,152.1002,1.067765,139.6838
2025-06-03T12:37:52.930Z,99,27.95971,28.44769,58.14568,915.1,35.45414,154.7414,1.152244,142.1095
2025-06-03T12:38:24.183Z,124,38.59707,28.44357,58.1907,915.12,35.67562,154.478,1.25242,141.8675
2025-06-03T12:38:55.304Z,60,10.83516,28.44199,58.17743,915.1,35.45423,152.6147,1.160676,140.1563
2025-06-03T12:39:26.044Z,32,4.047618,28.43851,58.19647,915.12,35.50808,153.7739,1.186836,141.2209
2025-06-03T12:39:56.989Z,54,9.326006,28.43091,58.22794,915.12,35.71552,152.9635,1.069582,140.4767
2025-06-03T12:40:27.680Z,60,10.81685,28.43281,58.2543,915.11,35.84806,149.9073,1.155442,137.67
2025-06-03T12:40:58.611Z,39,5.838829,28.43471,58.25459,915.12,35.70218,152.706,1.168617,140.2402
2025-06-03T12:41:29.923Z,43,6.787546,28.43281,58.27387,915.13,35.46762,153.8968,1.149499,141.3338
2025-06-03T12:42:00.604Z,15,0,28.43534,58.28077,915.13,35.24353,152.1451,1.28548,139.7251
2025-06-04T07:54:33.346Z,75,16.21612,28.49958,59.94069,916.54,32.91362,144.9433,0.821004,133.1112
2025-06-04T07:55:04.482Z,106,31.10256,28.54578,59.65852,916.53,32.42211,141.9606,0.780714,130.372
2025-06-04T07:55:35.537Z,28,3.000001,28.57363,59.58392,916.51,32.13851,141.094,0.730985,129.5761
2025-06-04T07:56:06.255Z,51,8.721612,28.5904,59.47488,916.47,32.08931,142.768,0.744391,131.1134
2025-06-04T07:56:38.215Z,54,9.366299,28.58629,59.25129,916.47,31.84169,145.6819,0.800878,133.7895
2025-06-04T07:57:09.134Z,15,0,28.58154,59.30958,916.44,32.09745,145.4583,0.704655,133.5842
2025-06-04T07:57:40.132Z,129,40.7326,28.59293,59.49494,916.43,32.21186,145.4762,0.854289,133.6006
2025-06-04T07:58:56.174Z,41,6.344323,28.60876,59.54327,916.42,32.94481,149.899,0.746028,137.6623
2025-06-04T07:59:29.859Z,46,7.432236,28.57268,59.24269,916.38,32.59812,145.9039,0.728022,133.9934
2025-06-04T08:00:01.123Z,84,20.66667,28.43882,59.72777,916.4,34.82332,146.0567,0.78124,134.1337
2025-06-04T08:00:32.075Z,71,14.28205,28.54578,58.93741,916.33,32.42211,143.8909,0.723642,132.1447
2025-06-04T08:01:02.884Z,79,18.51282,28.57553,58.22979,916.35,31.42911,145.6875,0.796216,133.7946
2025-06-04T08:01:33.732Z,16,0.34066,28.70938,57.46843,916.35,29.81593,140.6224,0.710382,129.143
2025-06-04T08:02:37.932Z,18,0.824175,28.7847,58.00654,916.33,30.93701,146.343,0.720195,134.3966
2025-06-04T08:03:09.045Z,31,3.765566,28.72268,57.89968,916.34,30.25866,142.3523,0.7815,130.7317
2025-06-04T08:08:06.243Z,137,43.99634,28.64103,56.95879,916.21,36.07852,152.7105,0.83519,140.2443
2025-06-04T08:08:36.955Z,75,16.59707,28.66572,56.74866,916.17,30.97165,149.3916,0.827901,137.1963
2025-06-04T08:09:07.265Z,15,0,28.72552,56.60204,916.15,29.27496,149.8268,0.838636,137.5961
2025-06-04T08:09:37.476Z,15,0,28.79672,56.3796,916.14,28.26255,150.4626,0.813598,138.18
2025-06-04T08:10:07.987Z,72,14.86447,28.82046,56.49292,916.16,28.09835,148.6512,0.776312,136.5164
2025-06-04T08:10:38.507Z,35,4.692308,28.8502,56.43905,916.13,28.01043,147.2132,0.785338,135.1958
2025-06-04T08:11:09.019Z,48,7.996337,28.86444,56.0407,916.13,27.58023,148.3326,0.821213,136.2238
2025-06-04T08:11:39.624Z,111,33.72161,28.88026,56.25601,916.1,27.26389,146.9596,0.863895,134.9629
2025-06-04T08:12:42.405Z,37,5.216117,28.87995,56.77983,916.01,27.63853,142.5813,0.764611,130.942
2025-06-04T08:13:13.125Z,15,0,28.83406,56.7602,916.02,27.63329,143.4493,0.768676,131.7392
2025-06-04T08:27:38.313Z,51,8.681319,28.78153,58.41698,915.84,31.40299,170.8728,0.889942,156.924
2025-06-04T08:28:09.021Z,64,11.76191,28.88944,58.98887,915.86,28.66126,176.613,0.862336,162.1956
2025-06-04T08:29:24.798Z,37,5.377291,28.87868,58.76474,915.85,27.06785,169.2365,0.846409,155.4213
2025-06-04T08:30:57.652Z,100,28.16117,28.9657,60.23529,915.81,26.68624,179.1271,0.90129,164.5045
2025-06-04T08:31:52.664Z,15,0,28.96729,61.22628,915.82,26.87539,182.5587,0.818399,167.6559
2025-06-04T08:32:22.973Z,42,6.40293,28.9483,60.88597,915.83,26.34746,177.4811,0.855986,162.9929
2025-06-04T08:32:53.380Z,15,0,28.97203,60.99541,915.84,26.39865,177.9303,0.89997,163.4054
2025-06-04T08:33:23.894Z,68,12.97069,28.97583,60.8902,915.83,26.48945,177.9611,0.844741,163.4336
2025-06-04T08:33:54.420Z,15,0,28.95115,61.03849,915.82,26.40435,181.5533,0.872559,166.7326
2025-06-04T08:34:40.803Z,15,0,28.97457,62.62915,915.8,28.04144,182.9154,0.817887,167.9835
2025-06-04T08:35:11.411Z,61,10.95604,28.96128,61.96157,915.79,27.54275,180.4447,0.851254,165.7145
2025-06-04T08:36:14.197Z,37,5.216117,29.03121,60.70048,915.79,27.22599,179.5363,0.844986,164.8803
2025-06-04T08:36:44.913Z,115,35.21245,28.93406,61.00941,915.78,27.50553,180.9157,0.876797,166.1471
2025-06-04T08:37:15.428Z,48,7.934063,28.94292,62.41101,915.77,28.1446,182.1526,0.899758,167.283
2025-06-04T08:37:45.944Z,77,17.32235,28.91634,60.9075,915.78,27.25839,180.0652,0.8527,165.366
2025-06-04T08:38:16.457Z,15,0,28.91792,60.35323,915.79,27.10089,180.7605,0.969886,166.0045
2025-06-04T08:41:10.435Z,17,0.542123,28.98976,58.44797,915.76,28.67295,148.6523,0.701706,136.5174
2025-06-04T08:41:46.382Z,125,39.32235,29.11823,58.3104,915.76,27.78028,149.6528,0.731086,137.4362
2025-06-04T08:42:19.555Z,30,3.644688,29.03311,57.49653,915.8,26.47243,144.6626,0.701614,132.8535
